-----------------------------------------------------------------------------------------------------------------------------

Elevation report for the  watershed     1/1/0001 3:25:35 PM     2/14/2014 12:00:00 AM

-----------------------------------------------------------------------------------------------------------------------------


Statistics:: All elevations reported in meters
-----------

  Min.    Elevation: 1162
  Max.    Elevation: 5855
  Mean.   Elevation: 3642.06194010759
  Std.    Deviation: 776.913104483359

                    Elevation          % Area Below Elevation         % Area Watershed

                    1413                     .52                      0
                    1414                     .52                      0
                    1415                     .53                      0
                    1416                     .53                      0
                    1417                     .53                      0
                    1418                     .54                      0
                    1419                     .54                      0
                    1420                     .54                      0
                    1421                     .55                      0
                    1422                     .55                      0
                    1423                     .55                      0
                    1424                     .56                      0
                    1425                     .56                      0
                    1426                     .56                      0
                    1427                     .57                      0
                    1428                     .57                      0
                    1429                     .57                      0
                    1430                     .57                      0
                    1431                     .58                      0
                    1432                     .58                      0
                    1433                     .58                      0
                    1434                     .59                      0
                    1435                     .59                      0
                    1436                     .59                      0
                    1437                     .6                       0
                    1438                     .6                       0
                    1439                     .6                       0
                    1440                     .6                       0
                    1441                     .61                      0
                    1442                     .61                      0
                    1443                     .61                      0
                    1444                     .62                      0
                    1445                     .62                      0
                    1446                     .62                      0
                    1447                     .63                      0
                    1448                     .63                      0
                    1449                     .63                      0
                    1450                     .64                      0
                    1451                     .64                      0
                    1452                     .64                      0
                    1453                     .64                      0
                    1454                     .65                      0
                    1455                     .65                      0
                    1456                     .65                      0
                    1457                     .66                      0
                    1458                     .66                      0
                    1459                     .66                      0
                    1460                     .67                      0
                    1461                     .67                      0
                    1462                     .67                      0
                    1463                     .68                      0
                    1464                     .68                      0
                    1465                     .68                      0
                    1466                     .69                      0
                    1467                     .69                      0
                    1468                     .69                      0
                    1469                     .7                       0
                    1470                     .7                       0
                    1471                     .7                       0
                    1472                     .71                      0
                    1473                     .71                      0
                    1474                     .71                      0
                    1475                     .72                      0
                    1476                     .72                      0
                    1477                     .72                      0
                    1478                     .73                      0
                    1479                     .73                      0
                    1480                     .73                      0
                    1481                     .74                      0
                    1482                     .74                      0
                    1483                     .74                      0
                    1484                     .75                      0
                    1485                     .75                      0
                    1486                     .75                      0
                    1487                     .76                      0
                    1488                     .76                      0
                    1489                     .76                      0
                    1490                     .77                      0
                    1491                     .77                      0
                    1492                     .77                      0
                    1493                     .78                      0
                    1494                     .78                      0
                    1495                     .78                      0
                    1496                     .79                      0
                    1497                     .79                      0
                    1498                     .79                      0
                    1499                     .8                       0
                    1500                     .8                       0
                    1501                     .8                       0
                    1502                     .81                      0
                    1503                     .81                      0
                    1504                     .81                      0
                    1505                     .82                      0
                    1506                     .82                      0
                    1507                     .83                      0
                    1508                     .83                      0
                    1509                     .83                      0
                    1510                     .84                      0
                    1511                     .84                      0
                    1512                     .84                      0
                    1513                     .85                      0
                    1514                     .85                      0
                    1515                     .85                      0
                    1516                     .86                      0
                    1517                     .86                      0
                    1518                     .86                      0
                    1519                     .87                      0
                    1520                     .87                      0
                    1521                     .87                      0
                    1522                     .88                      0
                    1523                     .88                      0
                    1524                     .89                      0
                    1525                     .89                      0
                    1526                     .89                      0
                    1527                     .9                       0
                    1528                     .9                       0
                    1529                     .9                       0
                    1530                     .91                      0
                    1531                     .91                      0
                    1532                     .91                      0
                    1533                     .92                      0
                    1534                     .92                      0
                    1535                     .92                      0
                    1536                     .93                      0
                    1537                     .93                      0
                    1538                     .93                      0
                    1539                     .93                      0
                    1540                     .94                      0
                    1541                     .94                      0
                    1542                     .95                      0
                    1543                     .95                      0
                    1544                     .95                      0
                    1545                     .96                      0
                    1546                     .96                      0
                    1547                     .96                      0
                    1548                     .97                      0
                    1549                     .97                      0
                    1550                     .97                      0
                    1551                     .98                      0
                    1552                     .98                      0
                    1553                     .98                      0
                    1554                     .99                      0
                    1555                     .99                      0
                    1556                     .99                      0
                    1557                     1                         0
                    1558                     1                         0
                    1559                     1                         0
                    1560                     1.01                      0
                    1561                     1.01                      0
                    1562                     1.02                      0
                    1563                     1.02                      0
                    1564                     1.02                      0
                    1565                     1.03                      0
                    1566                     1.03                      0
                    1567                     1.03                      0
                    1568                     1.04                      0
                    1569                     1.04                      0
                    1570                     1.04                      0
                    1571                     1.05                      0
                    1572                     1.05                      0
                    1573                     1.05                      0
                    1574                     1.06                      0
                    1575                     1.06                      0
                    1576                     1.07                      0
                    1577                     1.07                      0
                    1578                     1.07                      0
                    1579                     1.08                      0
                    1580                     1.08                      0
                    1581                     1.08                      0
                    1582                     1.09                      0
                    1583                     1.09                      0
                    1584                     1.09                      0
                    1585                     1.1                       0
                    1586                     1.1                       0
                    1587                     1.11                      0
                    1588                     1.11                      0
                    1589                     1.11                      0
                    1590                     1.12                      0
                    1591                     1.12                      0
                    1592                     1.12                      0
                    1593                     1.13                      0
                    1594                     1.13                      0
                    1595                     1.14                      0
                    1596                     1.14                      0
                    1597                     1.14                      0
                    1598                     1.15                      0
                    1599                     1.15                      0
                    1600                     1.15                      0
                    1601                     1.16                      0
                    1602                     1.16                      0
                    1603                     1.17                      0
                    1604                     1.17                      0
                    1605                     1.17                      0
                    1606                     1.18                      0
                    1607                     1.18                      0
                    1608                     1.19                      0
                    1609                     1.19                      0
                    1610                     1.19                      0
                    1611                     1.2                       0
                    1612                     1.2                       0
                    1613                     1.2                       0
