-----------------------------------------------------------------------------------------------------------------------------

Elevation report for the  watershed     1/1/0001 9:38:30 AM     9/13/2013 12:00:00 AM

-----------------------------------------------------------------------------------------------------------------------------


Statistics:: All elevations reported in meters
-----------

  Min.    Elevation: 5
  Max.    Elevation: 5532
  Mean.   Elevation: 1672.51732121021
  Std.    Deviation: 1173.24884594969

                    Elevation          % Area Below Elevation         % Area Watershed

                    249                     5.56                      .07
                    250                     5.63                      .07
                    251                     5.7                       .07
                    252                     5.77                      .07
                    253                     5.84                      .07
                    254                     5.91                      .07
                    255                     5.98                      .07
                    256                     6.04                      .07
                    257                     6.11                      .06
                    258                     6.17                      .06
                    259                     6.23                      .06
                    260                     6.29                      .06
                    261                     6.35                      .06
                    262                     6.41                      .06
                    263                     6.47                      .06
                    264                     6.53                      .06
                    265                     6.59                      .05
                    266                     6.64                      .05
                    267                     6.69                      .05
                    268                     6.74                      .05
                    269                     6.79                      .05
                    270                     6.83                      .05
                    271                     6.88                      .05
                    272                     6.92                      .04
                    273                     6.97                      .04
                    274                     7.01                      .04
                    275                     7.05                      .04
                    276                     7.09                      .04
                    277                     7.13                      .04
                    278                     7.18                      .04
                    279                     7.22                      .04
                    280                     7.26                      .04
                    281                     7.3                       .04
                    282                     7.34                      .04
                    283                     7.39                      .04
                    284                     7.43                      .04
                    285                     7.47                      .04
                    286                     7.52                      .04
                    287                     7.56                      .04
                    288                     7.6                       .04
                    289                     7.64                      .04
                    290                     7.68                      .04
                    291                     7.72                      .04
                    292                     7.76                      .04
                    293                     7.8                       .04
                    294                     7.85                      .04
                    295                     7.89                      .04
                    296                     7.93                      .04
                    297                     7.97                      .04
                    298                     8.01                      .04
                    299                     8.06                      .04
                    300                     8.1                       .04
                    301                     8.14                      .04
                    302                     8.19                      .04
                    303                     8.23                      .04
                    304                     8.27                      .04
                    305                     8.32                      .04
                    306                     8.36                      .04
                    307                     8.4                       .04
                    308                     8.45                      .04
                    309                     8.49                      .04
                    310                     8.53                      .04
                    311                     8.57                      .04
                    312                     8.61                      .04
                    313                     8.66                      .04
                    314                     8.7                       .04
                    315                     8.74                      .04
                    316                     8.78                      .04
                    317                     8.82                      .04
                    318                     8.86                      .04
                    319                     8.91                      .04
                    320                     8.95                      .04
                    321                     8.99                      .04
                    322                     9.03                      .04
                    323                     9.08                      .04
                    324                     9.12                      .04
                    325                     9.16                      .04
                    326                     9.2                       .04
                    327                     9.25                      .04
                    328                     9.29                      .04
                    329                     9.33                      .04
                    330                     9.37                      .04
                    331                     9.41                      .04
                    332                     9.45                      .04
                    333                     9.49                      .04
                    334                     9.53                      .04
                    335                     9.56                      .04
                    336                     9.6                       .04
                    337                     9.64                      .04
                    338                     9.68                      .04
                    339                     9.71                      .04
                    340                     9.75                      .04
                    341                     9.78                      .04
                    342                     9.82                      .04
                    343                     9.86                      .03
                    344                     9.89                      .04
                    345                     9.93                      .03
                    346                     9.96                      .03
                    347                     9.99                      .03
                    348                     10.03                     .03
                    349                     10.06                     .03
                    350                     10.1                      .03
                    351                     10.13                     .03
                    352                     10.16                     .03
                    353                     10.2                      .03
                    354                     10.23                     .03
                    355                     10.26                     .03
                    356                     10.29                     .03
                    357                     10.33                     .03
                    358                     10.36                     .03
                    359                     10.39                     .03
                    360                     10.42                     .03
                    361                     10.46                     .03
                    362                     10.49                     .03
                    363                     10.52                     .03
                    364                     10.55                     .03
                    365                     10.58                     .03
                    366                     10.61                     .03
                    367                     10.64                     .03
                    368                     10.67                     .03
                    369                     10.7                      .03
                    370                     10.73                     .03
                    371                     10.76                     .03
                    372                     10.79                     .03
                    373                     10.82                     .03
                    374                     10.85                     .03
                    375                     10.88                     .03
                    376                     10.91                     .03
                    377                     10.94                     .03
                    378                     10.97                     .03
                    379                     11                        .03
                    380                     11.03                     .03
                    381                     11.06                     .03
                    382                     11.09                     .03
                    383                     11.12                     .03
                    384                     11.15                     .03
                    385                     11.18                     .03
                    386                     11.21                     .03
                    387                     11.24                     .03
                    388                     11.41                     .17
                    389                     11.44                     .03
                    390                     11.6                      .15
                    391                     11.63                     .04
                    392                     11.67                     .03
                    393                     11.7                      .03
                    394                     11.74                     .03
                    395                     11.77                     .03
